Text,WeekDay,Month,Day,Time,#NAME?,Year,Location,Language,Followerscount,Friendscount
rt baboallan ahahahahahahah lee il est trop fort putain il ma tu jen peu plus,mon,sep,30,19:02:02,0,2013,92,fr,439,251
rt leogomide como um jogador que seria vendido por 45mi de euros dias depois  negociado por 5mi de reais desvalorizou rpido hein,mon,sep,30,19:02:02,0,2013,linhares es,pt,1353,1344
rt njomzacasillas1 supercalciotim iker casillas rossoneronunca y nuuuuunnnnccccaa iker siempre ser madridista,mon,sep,31,19:02:02,0,2013,,es,101,302
kz bildin 16 yandaym o zaman ben 1 yandaym ,mon,sep,30,19:02:02,0,2013,,tr,69,59
briawnuhk yeah  sadly,mon,sep,29,19:02:02,0,2013,socal ig taaaylorashley ,en,222,315
datalbo  haha i really am thoooough ,mon,sep,30,19:02:02,0,2013,,en,219,274
rt viedelyceen les conversations que lon a par sms avec sonsa meilleure amie sont  souvent incomprhensible pour quelquun dautre …,mon,sep,13,19:02:02,0,2013,sphora franaise et belge 3,fr,281,297
dennesschalken1 lekker,mon,sep,15,19:02:02,0,2013,tilburg,nl,405,645
ilfaromf mymiamivia  spettacolare,mon,sep,16,19:02:02,0,2013,,it,801,1059
th0ran pcq ils sont tous la a demander pleins de trucs ils savent rien et aprs a se permet de critiquer,mon,sep,16,19:02:02,0,2013,bbys  ,fr,831,402
ex-mbgn queen silvia nduka flaunts her own n15m chanel lego bag – look httptcolc2v22j1lb,mon,sep,10,19:02:02,0,2013,lagos state ,en,146,469
mujer espera 13 bebs en el mismo embarazo su esposo la dej por estril - diario cambio httptcofmkzmy90mn va diariocambio,mon,sep,29,19:02:02,0,2013,balsas el oro ecuador,es,362,902
tengo ganas de responder un par de preguntas httptcoiiy8pgwsoq l,mon,sep,1,19:02:02,0,2013, askfmndenahuel,es,29422,29331
,mon,sep,2,19:02:02,0,2013,tg,en,355,282
rt alexisann32 if you talk about me behind my back thats one thing but if i find outgood luck,mon,sep,3,19:02:02,0,2013,my house,en,429,772
rt brooksbeau got hit by a car popped a trace httptcolra375x8qh,mon,sep,4,19:02:02,0,2013,a  55 janoskians,en,3023,1894
rt ereschiste que haces cuando ves el facebook de alguien abierto hombre llenar el estatus de groseras mujer amigui lo dejaste ab…,mon,sep,5,19:02:02,0,2013,,es,319,988
yazzoo55 i do take art and obviously known you for nearly 12 years this is madness,mon,sep,6,19:02:02,0,2013,bristol,en,262,215
,mon,sep,7,19:02:02,0,2013,,ja,61,141
work from home like i do make your own hours your own scheduleand make as much  or as little as you wish httptco8rttbnsiug,mon,sep,8,19:02:02,0,2013,florida,en,46214,48061
u only have to wait till tomorro night so no hints this time,mon,sep,9,19:02:02,0,2013,ire,en,236,557
                     ,mon,sep,10,19:02:02,0,2013,  -kuwait k278,en,875,191
since im so needy,mon,sep,13,19:02:02,0,2013,2 2 beckley,en,597,354
sydneyi             d,mon,sep,30,19:02:02,0,2013,cairo  egypt,en,702,220
condo living in scarborough just got even better httptcoabbrgmfwtf,mon,sep,31,19:02:02,0,2013,ontario canada,en,5016,1843
rt olumidesadams count all the nouns around u rt itstraw music maybebeebeeauta how can i come off this boredom ,mon,sep,23,19:02:02,0,2013,,en,1361,1025
itsmeknee i know its so sad  all i know is that he has not made any progress hes still hasnt woken up,mon,sep,14,19:02:02,0,2013,ig  xoxomiggy,en,164,152
httptcoautmvotgc4    httptcoautmvotgc4,mon,sep,15,19:02:02,0,2013,,ru,0,34
93,mon,sep,16,19:02:02,0,2013,,ar,290,288
rt joshujworld guys i want you to be the first to know that ive got some big newsim going to be a daddy longleg killer this winter…,mon,sep,13,19:02:02,0,2013,,en,2112,1634
rt therealmikeepps chuck norris can sneeze with his eyes open  eppsie,mon,sep,12,19:02:02,0,2013,on the couch ,en,45,64
rt xjohngoodman catelinanderson ill be your ocean if you be my boat  ,mon,sep,25,19:02:02,0,2013,everywhere ,en,32,52
   ,mon,sep,15,19:02:02,0,2013,,ar,121,173
estoy limpiando para recibir visitas a mi casa,mon,sep,17,19:02:02,0,2013,,es,86,96
im marking my tweets with uv ink to guard against tweet tweft,mon,sep,17,19:02:02,0,2013,not far from london,en,273,161
alice in chains en chile puertas se abrirn a las 1930 ---gthttptco0kcflpancw,mon,sep,18,19:02:02,0,2013,santiago chile,es,379591,12260
          ,mon,sep,18,19:02:02,0,2013,,ar,734,184
john mcafee onthult oplossing tegen nsa httptcorzmtam2dys securityxl nieuws,mon,sep,18,19:02:02,0,2013,netherlands,nl,571,1
lfcash1990 can you screenshot that error for us jn,mon,sep,18,19:02:02,0,2013,redmond wa,en,31953,13
my mam wont let me go to bed cos she doesnt like going out in the dark on her own ,mon,sep,18,19:02:02,0,2013,hull,en,718,1157
httptcoznynlzd4iv,mon,sep,18,19:02:02,0,2013,,en,25,143
where is stoiltimchev1 ,mon,sep,18,19:02:02,0,2013,outer mongolia the moon,en,103,88
marco lvarez de facebook inc nos presenta su conferencia facebook y los juegos sociales httptcooqmcxgtshf,mon,sep,18,19:02:02,0,2013,mxico df,es,3271,1919
                          ,mon,sep,18,19:02:02,0,2013,,en,653,77
sikarinalec im not impressed that you can bench nearly your own weight its just a push up,mon,sep,18,19:02:02,0,2013,chicago il,en,235,140
photoset themalleable daft punk on star wars by adidas httptcoqeh7zckjvp,mon,sep,18,19:02:02,0,2013,crimea,ru,436,306
rt al33tiby  httptcoeq4362491w,mon,sep,18,19:02:02,0,2013,s3o0od05,ar,132,127
madawialfaleh na9abaa,mon,sep,18,19:02:02,0,2013,harmonizer - arianator ,en,165,377
questo  quello che ho pescato questa mattina httptcopnyl5b4zws,mon,sep,18,19:02:02,0,2013,,it,5,58
rt arsenal who is your favourite german at arsenal get involved in the debate now - httptcodttz1d7zep  clockend,mon,sep,18,19:02:02,0,2013,kuala lumpur malaysia,en,4,20
                       ,mon,sep,18,19:02:02,0,2013,,ar,19,58
beiktan kapsn biz atk imdi gelen geen giriyor ,mon,sep,18,19:02:02,0,2013,trkye,tr,7360,6350
on est que la 2 semaine depuis que les cours ont repris jen peux dj plus du manque de sommeil,mon,sep,18,19:02:02,0,2013,paris,en,241,661
            ,mon,sep,18,19:02:02,0,2013,ksa,ar,13450,2025
asleep awake asleep awake my body needs to decide what the fuck it wants to do,mon,sep,18,19:02:02,0,2013,,en,345,276
fabio sabatini – dove c’ barilla c’ una sguattera httptcopm751cqsxx,mon,sep,18,19:02:02,0,2013,lake of garda - italy,it,498,1989
