Name	Type	Latitude	Longitude	City	Country	
variety silks	clothing store	55.842698	-4.282664	glasgow	united kingdom	
dave  louises funk parlour	home (private)	55.8451593289	-4.2711876793		united kingdom	
pollokshields church of scotland		55.843306	-4.276164		united kingdom	
ocean hair and beauty	salon  barbershop	55.8426504341	-4.274868414		united kingdom	
herriet street	home (private)	55.8451593289	-4.2711876793		united kingdom	
jew den.	home (private)	55.8451593289	-4.2711876793	glasgow	united kingdom	
byker grove 2		55.842903	-4.274091		united kingdom	
big bobs	home (private)	55.8451593289	-4.2711876793	glasgow	united kingdom	
phils place	home (private)	55.8451593289	-4.2711876793	glasgow	united kingdom	
maxwell rd	road	55.8433738276	-4.2667293549	glasgow	united kingdom	
will n james	home (private)	55.8451593289	-4.2711876793	glasgow	united kingdom	
barrland street	building	55.8427775374	-4.2641670529	glasgow	united kingdom	
psychos house	home (private)	55.8451593289	-4.2711876793	glasgow	united kingdom	
naim penthouse	home (private)	55.8451593289	-4.2711876793	glasgow	united kingdom	
skynet central	home (private)	55.8451593289	-4.2711876793	glasgow	united kingdom	
eglinton toll	road	55.8430063753	-4.2624378204	glasgow	united kingdom	
superasia	food  drink shop	55.8425545848	-4.263253212	glasgow	united kingdom	
davincis	caf?	55.8429648292	-4.2626640245	glasgow	united kingdom	
dollar east	general travel	55.8425758255	-4.262738813	glasgow	united kingdom	
home	home (private)	55.845668789	-4.2564796512	glasgow	united kingdom	
the new plaza	home (private)	55.845668789	-4.2564796512		united kingdom	
the star bar	pub	55.8434099703	-4.2620301247	glasgow	united kingdom	
66 bus southbound	bus line	55.8434053217	-4.2617309899		united kingdom	
eat cafe	caf?	55.843034	-4.262098	glasgow	united kingdom	
bus stop 60902523	bus station	55.8432894946	-4.2618960142	pollokshields	united kingdom	
cosmo ceramics	shop  service	55.842902	-4.250329	glasgow	united kingdom	
bagel mania	bagel shop	55.84312	-4.249324		united kingdom	
nanas )	home (private)	55.8461763857	-4.2417744077	glasgow	united kingdom	
careshare nursery	daycare	55.843833	-4.283886		united kingdom	
pedros leal house	home (private)	55.8446480044	-4.2858984899	glasgow	united kingdom	
cafe serena	asian restaurant	55.84429822	-4.2741223661	glasgow	united kingdom	
amore restaurant	italian restaurant	55.8434951499	-4.2746793102	armadale	united kingdom	
youdaf  co accountants	building	55.844160038	-4.2733995604		united kingdom	
7e9as house 	home (private)	55.8451593289	-4.2711876793		united kingdom	
nationwide crash repair centre	automotive shop	55.84385	-4.270165		united kingdom	
allsops	home (private)	55.8451593289	-4.2711876793		united kingdom	
united cash and carry	miscellaneous shop	55.8436856648	-4.2684050962		united kingdom	
shields road dental practice	dentists office	55.8437296135	-4.2642079374	glasgow	united kingdom	
bus stop 60902627	bus station	55.8435786357	-4.2623519897	pollokshields	united kingdom	
the saw centre	hardware store	55.843848	-4.262421		united kingdom	
shell	gas station  garage	55.8441689586	-4.2621803284	eglinton toll	united kingdom	
starbar	bar	55.8434932442	-4.2621290444		united kingdom	
eglinton st bus stop	bus station	55.8436629681	-4.2621588707	glasgow	united kingdom	
djs	other nightlife	55.8437262809	-4.2620496429		united kingdom	
cathcart circle train	train	55.8427392215	-4.2611147943		united kingdom	
mellys magnificent majestry	housing development	55.8436766311	-4.2300398982		united kingdom	
lyle hill	scenic lookout	55.8438943604	-4.2300398982	greenok	united kingdom	
tam o shanters	other great outdoors	55.844035	-4.230057		united kingdom	
