Name,Type,Latitude,Longitude,City,Country
variety silks,clothing store,55.842698,-4.282664,glasgow,united kingdom
dave  louises funk parlour,home private,55.845159328887426,-4.2711876793321,,united kingdom
pollokshields church of scotland,,55.843306,-4.276164,,united kingdom
ocean hair and beauty,salon  barbershop,55.842650434145014,-4.274868413953944,,united kingdom
herriet street,home private,55.845159328887426,-4.2711876793321,,united kingdom
jew den.,home private,55.845159328887426,-4.2711876793321,glasgow,united kingdom
byker grove 2,,55.842903,-4.274091,,united kingdom
big bobs,home private,55.845159328887426,-4.2711876793321,glasgow,united kingdom
phils place,home private,55.845159328887426,-4.2711876793321,glasgow,united kingdom
maxwell rd,road,55.84337382764472,-4.266729354858398,glasgow,united kingdom
will n james,home private,55.845159328887426,-4.2711876793321,glasgow,united kingdom
barrland street,building,55.84277753736295,-4.264167052930758,glasgow,united kingdom
psychos house,home private,55.845159328887426,-4.2711876793321,glasgow,united kingdom
naim penthouse,home private,55.845159328887426,-4.2711876793321,glasgow,united kingdom
skynet central,home private,55.845159328887426,-4.2711876793321,glasgow,united kingdom
eglinton toll,road,55.843006375253815,-4.26243782043457,glasgow,united kingdom
superasia,food  drink shop,55.842554584766866,-4.263253211975098,glasgow,united kingdom
davincis,caf,55.84296482922789,-4.2626640244744936,glasgow,united kingdom
dollar east,general travel,55.84257582552426,-4.262738812954682,glasgow,united kingdom
home,home private,55.845668788985996,-4.256479651168762,glasgow,united kingdom
the new plaza,home private,55.845668788985996,-4.256479651168762,,united kingdom
the star bar,pub,55.84340997031523,-4.262030124664307,glasgow,united kingdom
66 bus southbound,bus line,55.84340532169857,-4.2617309898621745,,united kingdom
eat cafe,caf,55.843034,-4.262098,glasgow,united kingdom
bus stop 60902523,bus station,55.84328949461619,-4.261896014213562,pollokshields,united kingdom
cosmo ceramics,shop  service,55.842902,-4.250329,glasgow,united kingdom
bagel mania,bagel shop,55.84312,-4.249324,,united kingdom
nanas ,home private,55.84617638569836,-4.241774407702005,glasgow,united kingdom
careshare nursery,daycare,55.843833,-4.283886,,united kingdom
pedros leal house,home private,55.844648004373624,-4.28589848990163,glasgow,united kingdom
cafe serena,asian restaurant,55.84429822002043,-4.274122366090636,glasgow,united kingdom
amore restaurant,italian restaurant,55.84349514991116,-4.274679310216956,armadale,united kingdom
youdaf  co accountants,building,55.84416003802491,-4.273399560428968,,united kingdom
7e9as house ,home private,55.845159328887426,-4.2711876793321,,united kingdom
nationwide crash repair centre,automotive shop,55.84385,-4.270165,,united kingdom
allsops,home private,55.845159328887426,-4.2711876793321,,united kingdom
united cash and carry,miscellaneous shop,55.843685664775904,-4.268405096210752,,united kingdom
shields road dental practice,dentists office,55.843729613516814,-4.264207937351043,glasgow,united kingdom
bus stop 60902627,bus station,55.84357863566664,-4.262351989746094,pollokshields,united kingdom
the saw centre,hardware store,55.843848,-4.262421,,united kingdom
shell,gas station  garage,55.844168958633766,-4.262180328369141,eglinton toll,united kingdom
starbar,bar,55.843493244167036,-4.262129044434537,,united kingdom
eglinton st bus stop,bus station,55.84366296806793,-4.2621588706970215,glasgow,united kingdom
djs,other nightlife,55.84372628087203,-4.262049642861092,,united kingdom
cathcart circle train,train,55.84273922145295,-4.261114794329138,,united kingdom
mellys magnificent majestry,housing development,55.843676631122754,-4.23003989815662,,united kingdom
lyle hill,scenic lookout,55.84389436043026,-4.23003989815662,greenok,united kingdom
tam o shanters,other great outdoors,55.844035,-4.230057,,united kingdom
beswicks apple,arepa restaurant,55.844016,-4.230105,,united kingdom
baguete express,,55.843822,-4.230169,paisley,united kingdom
the scottsman pub,pub,55.843822,-4.230169,glasgow,united kingdom
antartex village,,55.843867,-4.229872,alexandria,united kingdom
bailikins,,55.844853,-4.276756,glasgow,united kingdom
glendale primary,school,55.844912505819316,-4.273202790022677,glasgow,united kingdom
block g james blyth court,residential building apartment  condo,55.844525,-4.272875,,united kingdom
pollockshields,neighborhood,55.84493202563215,-4.271827040169284,,united kingdom
multicultural centre,convention center,55.84486825206811,-4.271749333026335,glasgow,united kingdom
kingston bowling club,bowling alley,55.844588,-4.271081,glasgow,united kingdom
sugar rush,hookah bar,55.844472637957395,-4.268653747840145,,united kingdom
red pepper,indian restaurant,55.844346,-4.268664,glasgow,united kingdom
splash,car wash,55.84498816749105,-4.268553256988525,glasgow,united kingdom
splash car wash,,55.84463674,-4.268786,glasgow,united kingdom
sugar rush,dessert shop,55.844489,-4.268755,,united kingdom
aqua star,car wash,55.84434509277344,-4.262527942657471,,united kingdom
best fit tyres,automotive shop,55.84524639,-4.26176387,glasgow,united kingdom
cat factory,residential building apartment  condo,55.844567,-4.262148,,united kingdom
shirt express,laundry service,55.84495333255463,-4.261469878509547,glasgow,united kingdom
eglinton medical centre,doctors office,55.84452688622438,-4.262033642181012,glasgow,united kingdom
kashmir continental store,food,55.844481,-4.262054,glasgow,united kingdom
kashmir continental store,shop  service,55.84443,-4.261961,glasgow,united kingdom
soapbox digital media,design studio,55.844443,-4.262095,glasgow,united kingdom
hiltongrosvenor suite,other nightlife,55.844651218863625,-4.255136107874676,,united kingdom
teamtrackr hq,tech startup,55.845244,-4.251132,glasgow,united kingdom
caledonia house,office,55.84518242348988,-4.251040289287686,glasgow,united kingdom
caledonia house cafe,caf,55.84521857628506,-4.250842560634752,,united kingdom
entrepreneurial spark,office,55.845205014004705,-4.249069690704346,glasgow,united kingdom
gorbals,other great outdoors,55.84467494261356,-4.2455291748046875,,united kingdom
dunkys place,home private,55.84617638569836,-4.241774407702005,glasgow,united kingdom
st alberts primary,college academic building,55.845891,-4.28239,,united kingdom
maxwell lane,residential building apartment  condo,55.84548354027686,-4.280937132433053,glasgow,united kingdom
st.andrews cresent,residential building apartment  condo,55.845453,-4.280312,glasgow,united kingdom
manhattan,american restaurant,55.84565802750851,-4.275243982351857,,united kingdom
mlaga tapas,spanish restaurant,55.845917353470846,-4.274202257232608,glasgow,united kingdom
malaga,,55.84595898174258,-4.274291716841139,glasgow,united kingdom
khyber afganistani restaurant,asian restaurant,55.845963,-4.274469,glasgow,united kingdom
