Text,WeekDay,Month,Day,Time,+SMT,Year,Location,Language,Followers_count,Friends_count
rt babo_allan ahahahahahahah lee il est trop fort putain il ma tu? jen peu plus,mon,sep,30,19:02:02,+0000,2013,92 ,fr,439,251
rt leogomide como um jogador que seria vendido por 45mi de euros dias depois ? negociado por 5mi de reais desvalorizou r?pido hein,mon,sep,30,19:02:02,+0000,2013,linhares es,pt,1353,1344
rt njomzacasillas1 supercalciotim iker casillas rossoneronunca y nuuuuunnnnccccaa iker siempre ser? madridista,mon,sep,30,19:02:02,+0000,2013,,es,101,302
kz bildin 16 yandaym o zaman ben 1 yandaym ,mon,sep,30,19:02:02,+0000,2013,,tr,69,59
briawnuh_k yeah  sadly,mon,sep,30,19:02:02,+0000,2013,socal ig taaaylorashley ,en,222,315
datalbo  haha i really am thoooough ,mon,sep,30,19:02:02,+0000,2013,,en,219,274
rt viedelyceen les conversations que lon a par sms avec sonsa meilleur(e) ami(e) sont  souvent incompr?hensible pour quelquun dautre …,mon,sep,30,19:02:02,+0000,2013,s?phora fran?aise et belge 3,fr,281,297
dennesschalken1 lekker,mon,sep,30,19:02:02,+0000,2013,tilburg,nl,405,645
ilfaromf mymiamivia ? spettacolare,mon,sep,30,19:02:02,+0000,2013,,it,801,1059
th0r_an pcq ils sont tous la a demander pleins de trucs. ils savent rien. et apr?s ?a se permet de critiquer,mon,sep,30,19:02:02,+0000,2013,bbys  ,fr,831,402
ex-mbgn queen silvia nduka flaunts her own n1.5m chanel lego bag –? look httpt.colc2v22j1lb,mon,sep,30,19:02:02,+0000,2013,lagos state ,en,146,469
mujer espera 13 beb?s en el mismo embarazo su esposo la dej? por est?ril - diario cambio httpt.cofmkzmy90mn v?a diario_cambio,mon,sep,30,19:02:02,+0000,2013,balsas el oro ecuador,es,362,902
tengo ganas de responder un par de preguntas. httpt.coiiy8pgwsoq l,mon,sep,30,19:02:02,+0000,2013, ask.fmndenahuel,es,29422,29331
,mon,sep,30,19:02:02,+0000,2013,tg,en,355,282
rt alexis_ann32 if you talk about me behind my back thats one thing. but if i find out....good luck...,mon,sep,30,19:02:02,+0000,2013,my house,en,429,772
rt brooksbeau got hit by a car... popped a trace. httpt.colra375x8qh,mon,sep,30,19:02:02,+0000,2013,a  55 janoskians,en,3023,1894
rt ereschiste ?que haces cuando ves el facebook de alguien abierto hombre llenar el estatus de groser?as. mujer amigui lo dejaste ab…,mon,sep,30,19:02:02,+0000,2013,,es,319,988
yazzoo55 i do take art and obviously known you for nearly 12 years this is madness,mon,sep,30,19:02:02,+0000,2013,bristol,en,262,215
