text,created_at,location
RT @babo_allan: Ahahahahahahah lee il est trop fort putain il ma tu jen peu plus,Mon Sep 30 19:02:02 +0000 2013,
RT @LeoGomide: Como um jogador que seria vendido por 45mi de euros dias depois  negociado por 5mi de reais Desvalorizou rpido hein,Mon Sep 30 19:02:02 +0000 2013,
RT @NjomzaCasillas1: @SuperCalcioTim IKER CASILLAS ROSSONERONUNCA Y NUUUUUNNNNCCCCAA #IKER siempre ser #MADRIDISTA,Mon Sep 30 19:02:02 +0000 2013,
Kz bildin 16 yandaym o zaman ben 1 yandaym ,Mon Sep 30 19:02:02 +0000 2013,
@briawnuh_k yeah  sadly,Mon Sep 30 19:02:02 +0000 2013,
@DatAlbo  haha I really am thoooough ,Mon Sep 30 19:02:02 +0000 2013,
RT @VieDeLyceen: Les conversations que l'on a par SMS avec son/sa meilleur(e) ami(e) sont  souvent incomprhensible pour quelqu'un d'autre …,Mon Sep 30 19:02:02 +0000 2013,
@DennesSchalken1 lekker,Mon Sep 30 19:02:02 +0000 2013,
@ilfaromf @Mymiamivia  spettacolare,Mon Sep 30 19:02:02 +0000 2013,
@TH0R_AN pcq ils sont tous la a demander pleins de trucs Ils savent rien Et aprs a se permet de critiquer,Mon Sep 30 19:02:02 +0000 2013,
Ex-MBGN Queen Silvia Nduka Flaunts Her Own N15M Chanel Lego Bag – Look http://tco/lC2V22j1Lb,Mon Sep 30 19:02:02 +0000 2013,
Mujer espera 13 bebs en el mismo embarazo; su esposo la dej "por estril" - Diario Cambio http://tco/fMkZMy90mn va @diario_cambio,Mon Sep 30 19:02:02 +0000 2013,
Tengo ganas de responder un par de preguntas http://tco/IIy8PGWSoQ :L,Mon Sep 30 19:02:02 +0000 2013,
,Mon Sep 30 19:02:02 +0000 2013,
RT @alexis_ann32: if you talk about me behind my back that's one thing but if i find outgood luck,Mon Sep 30 19:02:02 +0000 2013,
Mon Sep 30 19:02:02 +0000 2013,RT @BrooksBeau: Got hit by a car Popped a trace http://tco/LrA375x8Qh,
RT @EresChiste: Que haces cuando ves el facebook de alguien abierto Hombre: Llenar el estatus de groseras Mujer: "Amigui lo dejaste ab…,Mon Sep 30 19:02:02 +0000 2013,
@Yazzoo55 I do take art and obviously known you for nearly 12 years this is madness,Mon Sep 30 19:02:02 +0000 2013,
,Mon Sep 30 19:02:02 +0000 2013,
#Work from home like I do Make your own hours your own scheduleand make as much $$$ or as little as you wish http://tco/8rttBnSiuG,Mon Sep 30 19:02:02 +0000 2013,
U only have to wait till tomorro night so no hints this time,Mon Sep 30 19:02:02 +0000 2013,
      "     "      "    ",Mon Sep 30 19:02:02 +0000 2013,
since im so needy,Mon Sep 30 19:02:02 +0000 2013,
@Sydney_I_             D:,Mon Sep 30 19:02:02 +0000 2013,
Condo living in Scarborough just got even better http://tco/abBRGmFWTf,Mon Sep 30 19:02:02 +0000 2013,
RT @olumidesadams: Count all the nouns around u RT "@Its_t_rAw: mUsIc mAybE"@beebeeauta: How can I come off this boredom "",Mon Sep 30 19:02:02 +0000 2013,
@its_meknee I know it's so sad  all I know is that he has not made any progress He's still hasn't woken up,Mon Sep 30 19:02:02 +0000 2013,
http://tco/AutmVOtGC4    http://tco/AutmVOtGC4,Mon Sep 30 19:02:02 +0000 2013,
(            ) [:93],Mon Sep 30 19:02:02 +0000 2013,
RT @JoshUJWorld: Guys I want you to be the first to know that I've got some big newsI'm going to be a daddy longleg killer this winter…,Mon Sep 30 19:02:02 +0000 2013,
RT @TheRealMikeEpps: CHUCK NORRIS CAN SNEEZE WITH HIS EYES OPEN  #Eppsie,Mon Sep 30 19:02:02 +0000 2013,
RT @xjohngoodman: @CatelinAnderson ill be your ocean if you be my boat :$ ,Mon Sep 30 19:02:02 +0000 2013,
   ,Mon Sep 30 19:02:02 +0000 2013,
estoy limpiando para recibir visitas a mi casa,Mon Sep 30 19:02:02 +0000 2013,
I'm marking my tweets with UV ink to guard against tweet tweft,Mon Sep 30 19:02:02 +0000 2013,
Alice In Chains en Chile: Puertas se abrirn a las 1930 ---&gt;http://tco/0kcflPANcw,Mon Sep 30 19:02:02 +0000 2013,
          #,Mon Sep 30 19:02:02 +0000 2013,
John McAfee onthult oplossing tegen NSA http://tco/rzMTam2dYs #securityxl #nieuws,Mon Sep 30 19:02:02 +0000 2013,
@lfcash1990 Can you screenshot that error for us ^JN,Mon Sep 30 19:02:02 +0000 2013,
My mam won't let me go to bed cos she doesn't like going out in the dark on her own ,Mon Sep 30 19:02:02 +0000 2013,
http://tco/zNYnlZD4iV,Mon Sep 30 19:02:02 +0000 2013,
Where is @StoilTimchev1 ,Mon Sep 30 19:02:02 +0000 2013,
Marco lvarez de Facebook Inc nos presenta su conferencia: Facebook y los juegos sociales http://tco/oQmcXgTsHF,Mon Sep 30 19:02:02 +0000 2013,
                          ,Mon Sep 30 19:02:02 +0000 2013,
@Sikarin_Alec I'm not impressed that you can bench nearly your own weight it's just a push up,Mon Sep 30 19:02:02 +0000 2013,
Photoset: themalleable: Daft Punk on Star Wars by Adidas http://tco/qEH7ZCkjVp,Mon Sep 30 19:02:02 +0000 2013,
Mon Sep 30 19:02:02 +0000 2013,RT @al33tiby:  http://tco/EQ4362491w",
@Madawialfaleh na9abaa,Mon Sep 30 19:02:02 +0000 2013,
Questo  quello che ho pescato questa mattina http://tco/PnYL5B4zws,Mon Sep 30 19:02:02 +0000 2013,
Mon Sep 30 19:02:02 +0000 2013,RT @Arsenal: Who is your favourite German at #Arsenal Get involved in the debate now - http://tco/dTTz1D7ZEP  #ClockEnd,
                       ,Mon Sep 30 19:02:02 +0000 2013,
Beiktan kapsn biz atk imdi gelen geen giriyor ,Mon Sep 30 19:02:02 +0000 2013,
on est que la 2 semaine depuis que les cours ont repris j'en peux dj plus du manque de sommeil,Mon Sep 30 19:02:02 +0000 2013,
       /     ,Mon Sep 30 19:02:02 +0000 2013,
Asleep awake asleep awake My body needs to decide what the fuck it wants to do,Mon Sep 30 19:02:02 +0000 2013,
FABIO SABATINI – Dove c’ Barilla c’ una sguattera http://tco/pm751cQsxX,Mon Sep 30 19:02:02 +0000 2013,
RT @ThiagoMacGames: Aquelas criancinhas que no calam a boca de jeito nenhum e voc pensa como seria bom dar um pequeno soco mas pequeno s…,Mon Sep 30 19:02:02 +0000 2013,
@IfeyTV @cassidy_mazotas k,Mon Sep 30 19:02:02 +0000 2013,
@chrisdupont07 prolly like 3:45,Mon Sep 30 19:02:02 +0000 2013,
RT @turkinsudairi:   ()     "   " http:…,Mon Sep 30 19:02:02 +0000 2013,
@KillaaKayla Yeah it will I can't wait Lol ,Mon Sep 30 19:02:02 +0000 2013,
Mon Sep 30 19:02:02 +0000 2013,RT @aitariaEs: La internacionalizacin de las empresas espaolas en la actualidad http://tco/tP2A9oykUY,
Mon Sep 30 19:02:02 +0000 2013,RT @clarampj: No conocer esta respuesta es de sermuy muggle @Albus_dumb http://tco/vIaYWyfLO2,
Beli gta tapi tk main zz waste moooooneehhhh,Mon Sep 30 19:02:02 +0000 2013,
   :            ,Mon Sep 30 19:02:02 +0000 2013,
@fatinshahidan dah mcm i nieh penyangak pulak tak selamat bagai -- hahaha yelah wakk ikut you jee,Mon Sep 30 19:02:02 +0000 2013,
Hannibalclk oynyalm m &lt;3,Mon Sep 30 19:02:02 +0000 2013,
RT @dennisposts: Miley Cyrus - An Emoji Story: ,Mon Sep 30 19:02:02 +0000 2013,
"@Kingaling_: @_randeeNicole theirs broke" go buy one- _- what happened to urs,Mon Sep 30 19:02:02 +0000 2013,
Mon Sep 30 19:02:02 +0000 2013,RT @ramazankaya58: Yakr http://tco/s3aGxb7I1o,
@PabloooATM21 @LuciaGarciValdi jajaja entre tu y @AngelaaBurgos,Mon Sep 30 19:02:02 +0000 2013,
@perseofagdr non penso ride,Mon Sep 30 19:02:02 +0000 2013,
@ai_big ,Mon Sep 30 19:02:02 +0000 2013,
Jpense Que Jvais Etre En Jail,Mon Sep 30 19:02:02 +0000 2013,
@Jellie_Bean_ I just cried a little That so sad jean :(,Mon Sep 30 19:02:02 +0000 2013,
No dejemos que se apague no 8,Mon Sep 30 19:02:02 +0000 2013,
   :     http://tco/uSrokOKYJ6 http://tco/fCm3kc4gbR,Mon Sep 30 19:02:02 +0000 2013,
Mon Sep 30 19:02:02 +0000 2013,RT @carolineee367: me rn http://tco/oAWY06two4,
                ,Mon Sep 30 19:02:02 +0000 2013,
@VIVAANTES @Cascarelo E j a srio eu no contrataria algum assim para trabalhar na minha oficina Prefiro fregar eu o vter,Mon Sep 30 19:02:02 +0000 2013,
El reto se ha iniciado Participa con tus fotos en el concurso Photo Challenge  Ingresa a  http://tco/93g10vLn8V #MPC2013,Mon Sep 30 19:02:02 +0000 2013,
RT @Larrepy: @MRehnfeldt Hoy a las 1800 se presenta el primer diario digital universitario de la carrera de Comunicacin (UNA) http://tc…,Mon Sep 30 19:02:02 +0000 2013,
