name,city,type
Variety Silks,Glasgow,bar
Dave & Louise's funk parlour,Glasgow,bar
Pollokshields Church Of Scotland,Glasgow,bar
Ocean Hair And Beauty,Glasgow,bar
Herriet Street,Glasgow,bar
Jew Den,Glasgow,bar
Byker Grove 2,Glasgow,bar
Big Bob's,Glasgow,bar
Phil's Place,Glasgow,bar
Maxwell Rd,Glasgow,bar
Will N James,Glasgow,bar
Barrland Street,Glasgow,bar
Psychos House,Glasgow,bar
Naim Penthouse,Glasgow,bar
Skynet central,Glasgow,bar
Eglinton Toll,Glasgow,bar
Superasia,Glasgow,bar
Davincis,Glasgow,bar
Dollar East,Glasgow,bar
Home,Glasgow,bar
The New Plaza,Glasgow,bar
The Star Bar,Glasgow,bar
66 Bus Southbound,Glasgow,bar
Eat Cafe,Glasgow,bar
Bus Stop 60902523,Glasgow,bar
Cosmo Ceramics,Glasgow,bar
Bagel Mania,Glasgow,bar
Nanas,Glasgow,bar
Careshare Nursery,Glasgow,bar
Pedro's Leal House,Glasgow,bar
Cafe Serena,Glasgow,bar
amore restaurant,Glasgow,bar
Youdaf & Co Accountants,Glasgow,bar
7e9a's House ,Glasgow,bar
Nationwide Crash Repair Centre,Glasgow,bar
Allsops,Glasgow,bar
United cash and carry,Glasgow,bar
Shields Road Dental Practice,Glasgow,bar
Bus Stop 60902627,Glasgow,bar
The Saw Centre,Glasgow,bar
Shell,Glasgow,bar
Starbar,Glasgow,bar
Eglinton St Bus Stop,Glasgow,bar
DJ's,Glasgow,bar
Cathcart Circle Train,Glasgow,bar
Mellys Magnificent Majestry,Glasgow,bar
Lyle Hill,Glasgow,bar
Tam O Shanters,Glasgow,bar
Beswicks Apple,Glasgow,bar
Baguete Express,Glasgow,bar
The Scottsman Pub,Glasgow,bar
Antartex Village,Glasgow,bar
Bailikins,Glasgow,bar
Glendale Primary,Glasgow,bar
Block G James Blyth Court,Glasgow,bar
Pollockshields,Glasgow,bar
Multicultural Centre,Glasgow,bar
Kingston Bowling Club,Glasgow,bar
Sugar rush,Glasgow,bar
Red Pepper,Glasgow,bar
Splash,Glasgow,bar
SPLASH Car Wash,Glasgow,bar
sugar rush,Glasgow,bar
Aqua Star,Glasgow,bar
Best Fit Tyres,Glasgow,bar
Cat Factory,Glasgow,bar
Shirt express,Glasgow,bar
Eglinton Medical Centre,Glasgow,bar
Kashmir Continental Store,Glasgow,bar
Kashmir Continental Store,Glasgow,bar
Soapbox Digital Media,Glasgow,bar
HiltonGrosvenor suite,Glasgow,bar
teamtrackr HQ,Glasgow,bar
Caledonia House,Glasgow,bar
Caledonia House Cafe,Glasgow,bar
Entrepreneurial Spark,Glasgow,bar
Gorbals,Glasgow,bar
Dunky's Place,Glasgow,bar
St Alberts Primary,Glasgow,bar
Maxwell Lane,Glasgow,bar
StAndrews Cresent,Glasgow,bar
Manhattan,Glasgow,bar
Mlaga Tapas,Glasgow,bar
Malaga,Glasgow,bar
Khyber Afganistani Restaurant,Glasgow,bar
Mimmo's,Glasgow,bar
St Andrews Rd,Glasgow,bar
Carpet Right,Glasgow,bar
kilbirnie st rrap,Glasgow,bar
Sher Brothers Cash & Carry,Glasgow,bar
Seventh-day Adventist Church Turriff Str Glasgow,bar
Jobcentre Plus,Glasgow,bar
Laurieston Jc+,Glasgow,bar
invensys rail,Glasgow,bar
23 bus,Glasgow,bar
James F Kidd,Glasgow,bar
Nicola and Gav's pad,Glasgow,bar
Scots House,Glasgow,bar
The Pit Stop,Glasgow,bar
Home Ryan M,Glasgow,bar
EE,Glasgow,bar
Glasgow,bar National Hockey Centre,Glasgow,bar
Glasgow,bar Green Football Centre,Glasgow,bar
Social Climbers Ltd,Glasgow,bar
Shields Train Depot,Glasgow,bar
Alstom,Glasgow,bar
St Andrews Drive Park,Glasgow,bar
27 St Andrews Cres,Glasgow,bar
Diarmid's Flat,Glasgow,bar
Arnold Clark Van Centre,Glasgow,bar
Scotland Gas Networks,Glasgow,bar
Tsmith Snack Bar,Glasgow,bar
Griphouse Southside,Glasgow,bar
Aynams Grill Station,Glasgow,bar
Melbra's place,Glasgow,bar
Ross Electrical,Glasgow,bar
New Turban Tandoori,Glasgow,bar
Johnny's Pad,Glasgow,bar
New Gorbals Park Southside,Glasgow,bar
Dickie Heights,Glasgow,bar
My House,Glasgow,bar
Waterside Team,Glasgow,bar
New Gorbals,Glasgow,bar
Home sweet home,Glasgow,bar
Tbones Crib,Glasgow,bar
MSc On Tour Glasgow,bar Mansion,Glasgow,bar
St Francis Centre,Glasgow,bar
Provan Towers,Glasgow,bar
Greggs,Glasgow,bar
Flat 3/1 16 St Valentine's Terrace,Glasgow,bar
Francis RC Primary School,Glasgow,bar
Mortgage Advisor Glasgow,bar
Bonnie Prince Charlie's Gate,Glasgow,bar
City of Glasgow,bar college Hall of residence,Glasgow,bar
Lynseys house!,Glasgow,bar
Dassie Green on Glasgow,bar Green,Glasgow,bar
Mr Snugglies,Glasgow,bar
Trespass,Glasgow,bar
Sher Bros,Glasgow,bar
Anaya Glasgow,bar
Mammy's,Glasgow,bar
Pole Position,Glasgow,bar
Soap Kitchen,Glasgow,bar
Gorbals Sounds,Glasgow,bar
Whiteinch centre,Glasgow,bar
19 Malta Terrace,Glasgow,bar
Home sweet home,Glasgow,bar
Cumberland Street,Glasgow,bar
Home,Glasgow,bar
Abode of the bearded,Glasgow,bar
Gorbals Rose Garden,Glasgow,bar
Grazia's Place,Glasgow,bar
Reubanz,Glasgow,bar
Tony's Southside Palace,Glasgow,bar
The Gorbals Barbershop,Glasgow,bar
Claire & Brian's,Glasgow,bar
head office,Glasgow,bar
Hot Spot,Glasgow,bar
King's Bridge,Glasgow,bar
New gaff,Glasgow,bar
Crimson Star,Glasgow,bar
James street,Glasgow,bar
PTS,Glasgow,bar
BSS,Glasgow,bar
Smurfit Kappa,Glasgow,bar
FTDI Chip,Glasgow,bar
Foster wheeler,Glasgow,bar
Key Portfolio,Glasgow,bar
Baxter House,Glasgow,bar
Hyundai,Glasgow,bar
Murray Chrysler,Glasgow,bar
June Brides,Glasgow,bar
Commonwealth House,Glasgow,bar
G5 9DE,Glasgow,bar
Hannah Autosound,Glasgow,bar
Brazen Heid,Glasgow,bar
Sizzlers,Glasgow,bar
Momma's House,Glasgow,bar
The Co-operative Food,Glasgow,bar
Boots,Glasgow,bar
Ann's Fry,Glasgow,bar
Lauren's Place,Glasgow,bar
The flat,Glasgow,bar
G's Fish and Chips,Glasgow,bar
Gorbals Health Centre,Glasgow,bar
G5 Deli,Glasgow,bar
Gorbals Social Work,Glasgow,bar
Southbank Child Development Centre,Glasgow,bar
KrisTuC Humpy,Glasgow,bar
New Gorbals Residence,Glasgow,bar
Nisa extra,Glasgow,bar
Bell's Taxi Insurance,Glasgow,bar
